"cog","subject","sex","r","c","part"
4811.124208367969,"s006",m,5,1,"informal"
4468.83767922478,"s006",m,5,1,"informal"
5038.124241853768,"s006",m,5,1,"informal"
6880.259308995911,"s006",m,5,1,"informal"
6434.760685725034,"s006",m,5,1,"informal"
6672.021433948844,"s006",m,5,1,"informal"
5613.045104961937,"s006",m,5,1,"informal"
4517.452468522894,"s006",m,5,1,"informal"
5160.670686554268,"s006",m,5,1,"informal"
7143.271424427074,"s006",m,5,1,"informal"
5887.594424063083,"s006",m,5,1,"informal"
6487.904592443667,"s006",m,5,1,"informal"
6211.899756872739,"s006",m,5,1,"informal"
5839.49224267904,"s006",m,5,1,"informal"
2639.0187485938236,"s006",m,5,1,"informal"
5825.3563807503615,"s006",m,5,1,"informal"
7071.03770722093,"s006",m,5,1,"informal"
5452.745948452825,"s006",m,5,1,"informal"
4305.174810224314,"s006",m,5,1,"informal"
5949.1310674510305,"s006",m,5,1,"informal"
5135.093110571548,"s006",m,5,1,"informal"
5609.910767793292,"s006",m,5,1,"informal"
6268.0754885093465,"s006",m,5,1,"informal"
6206.280480698299,"s006",m,5,1,"informal"
6888.271464844898,"s006",m,5,1,"informal"
5612.322299562349,"s006",m,5,1,"informal"
5628.198863562158,"s006",m,5,1,"informal"
5570.091828766094,"s006",m,5,1,"informal"
6182.428547628502,"s006",m,5,1,"informal"
5776.692647760136,"s006",m,5,1,"informal"
2715.6188969795157,"s006",m,5,1,"informal"
5233.401464018255,"s006",m,5,1,"informal"
7250.638807946607,"s006",m,5,1,"informal"
5181.558557601198,"s006",m,5,1,"informal"
5767.732273145846,"s006",m,5,1,"informal"
4854.4493147450285,"s006",m,5,1,"informal"
6252.562254409595,"s006",m,5,1,"informal"
7229.879248059644,"s006",m,5,1,"informal"
3742.9642305620496,"s006",m,5,1,"informal"
5068.177615418707,"s006",m,5,1,"informal"
5772.945884738359,"s006",m,5,1,"informal"
6405.881031453137,"s006",m,5,1,"informal"
5792.34995079115,"s006",m,5,1,"informal"
4937.157231935671,"s006",m,5,1,"informal"
5230.45767788684,"s006",m,5,1,"informal"
4995.085094573964,"s006",m,5,1,"informal"
5344.252667463052,"s006",m,5,1,"informal"
